name,comm_code,census_year,population,occupied dwellings,persons per unit
WOODLANDS,WOO,04/01/1970 12:00:00 AM,72,8,9
MONTEREY PARK,MOR,04/01/2004 12:00:00 AM,10498,3024,3.47
MACEWAN GLEN,MAC,04/01/1992 12:00:00 AM,4132,1304,3.17
HIDDEN VALLEY,HID,04/01/2002 12:00:00 AM,10684,3446,3.1
ARBOUR LAKE,ARB,04/01/1998 12:00:00 AM,5026,1871,2.69
ABBEYDALE,ABB,04/01/2004 12:00:00 AM,6200,1925,3.22
WEST SPRINGS,WSP,04/01/1999 12:00:00 AM,252,87,2.9
COACH HILL,COA,04/01/2003 12:00:00 AM,3304,1441,2.29
BONAVISTA DOWNS,BDO,04/01/2001 12:00:00 AM,1073,367,2.92
MCKENZIE LAKE,MCK,04/01/2002 12:00:00 AM,15047,4562,3.3
ELBOYA,EYA,04/01/1999 12:00:00 AM,1676,739,2.27
SHAWNESSY,SHN,04/01/1975 12:00:00 AM,0,0,0
KINCORA,KCA,04/01/1991 12:00:00 AM,0,0,0
ROSSCARROCK,RCK,04/01/2013 12:00:00 AM,3317,1479,2.24
MONTGOMERY,MON,04/01/2015 12:00:00 AM,4246,1760,2.41
COUNTRY HILLS,COU,04/01/1991 12:00:00 AM,29,8,3.63
MOUNT PLEASANT,MOP,04/01/2015 12:00:00 AM,5617,2475,2.27
MIDNAPORE,MID,04/01/1980 12:00:00 AM,4285,1332,3.22
EVANSTON,EVN,04/01/2009 12:00:00 AM,4599,1476,3.12
VARSITY,VAR,04/01/1977 12:00:00 AM,11646,3432,3.39
GARRISON GREEN,GAG,04/01/1988 12:00:00 AM,667,202,3.3
BRITANNIA,BRT,04/01/1968 12:00:00 AM,1187,318,3.73
CHAPARRAL,CHA,04/01/1977 12:00:00 AM,0,0,0
THORNCLIFFE,THO,04/01/1977 12:00:00 AM,11379,3487,3.26
MCKENZIE LAKE,MCK,04/01/2012 12:00:00 AM,14050,4593,3.06
RANCHLANDS,RAN,04/01/1992 12:00:00 AM,8696,2869,3.03
BANKVIEW,BNK,04/01/2008 12:00:00 AM,5279,3266,1.62
ST. ANDREWS HEIGHTS,STA,04/01/1979 12:00:00 AM,2162,676,3.2
PENBROOKE MEADOWS,PEN,04/01/2012 12:00:00 AM,8547,3030,2.82
COVENTRY HILLS,COV,04/01/1998 12:00:00 AM,3580,1241,2.88
BRIDLEWOOD,BRI,04/01/1971 12:00:00 AM,0,0,0
PATTERSON,PAT,04/01/1975 12:00:00 AM,129,37,3.49
ROYAL OAK,ROY,04/01/2002 12:00:00 AM,1335,452,2.95
SUNALTA,SNA,04/01/1988 12:00:00 AM,3042,1889,1.61
UNIVERSITY DISTRICT,UND,04/01/1975 12:00:00 AM,0,0,0
BEL-AIRE,BEL,04/01/1997 12:00:00 AM,490,155,3.16
ABBEYDALE,ABB,04/01/1988 12:00:00 AM,6572,1845,3.56
ROSSCARROCK,RCK,04/01/1984 12:00:00 AM,3300,1376,2.4
NEW BRIGHTON,NEB,04/01/2007 12:00:00 AM,2680,940,2.85
HAMPTONS,HAM,04/01/2004 12:00:00 AM,7906,2337,3.38
NORTH HAVEN UPPER,NHU,04/01/2010 12:00:00 AM,628,242,2.6
NORTH GLENMORE PARK,NGM,04/01/1976 12:00:00 AM,3372,934,3.61
RUTLAND PARK,RUT,04/01/2000 12:00:00 AM,2359,957,2.46
MIDNAPORE,MID,04/01/1975 12:00:00 AM,303,72,4.21
SKYVIEW RANCH,SKR,04/01/1975 12:00:00 AM,0,0,0
UNIVERSITY OF CALGARY,UOC,04/01/2009 12:00:00 AM,2137,599,3.57
ALBERT PARK/RADISSON HEIGHTS,ALB,04/01/2003 12:00:00 AM,6332,2445,2.59
ROSEMONT,RMT,04/01/1981 12:00:00 AM,1405,521,2.7
CANYON MEADOWS,CAN,04/01/1983 12:00:00 AM,8105,2435,3.33
ASPEN WOODS,ASP,04/01/1998 12:00:00 AM,152,51,2.98
MAPLE RIDGE,MPL,04/01/1992 12:00:00 AM,2373,805,2.95
MARLBOROUGH,MRL,04/01/1984 12:00:00 AM,9450,2801,3.37
KELVIN GROVE,KEL,04/01/1995 12:00:00 AM,2166,857,2.53
BOWNESS,BOW,04/01/2010 12:00:00 AM,10733,4914,2.18
COUNTRY HILLS,COU,04/01/1969 12:00:00 AM,0,0,0
BRAESIDE,BRA,04/01/1970 12:00:00 AM,1513,367,4.12
MARLBOROUGH,MRL,04/01/2017 12:00:00 AM,9226,3092,2.98
BANFF TRAIL,BNF,04/01/1996 12:00:00 AM,3370,1579,2.13
GARRISON GREEN,GAG,04/01/2010 12:00:00 AM,1606,692,2.32
VALLEY RIDGE,VAL,04/01/1994 12:00:00 AM,420,143,2.94
STRATHCONA PARK,STR,04/01/1988 12:00:00 AM,4311,1440,2.99
LAKE BONAVISTA,LKB,04/01/1982 12:00:00 AM,13211,3625,3.64
VISTA HEIGHTS,VIS,04/01/1993 12:00:00 AM,2390,717,3.33
DEER RUN,DRN,04/01/2010 12:00:00 AM,5410,2036,2.66
NOLAN HILL,NOL,04/01/2009 12:00:00 AM,0,0,0
THORNCLIFFE,THO,04/01/2002 12:00:00 AM,9198,3652,2.52
OAKRIDGE,OAK,04/01/1972 12:00:00 AM,1889,522,3.62
FOREST HEIGHTS,FHT,04/01/2008 12:00:00 AM,6147,2129,2.89
SETON,SET,04/01/1984 12:00:00 AM,0,0,0
PARKDALE,PKD,04/01/1976 12:00:00 AM,2044,730,2.8
DOWNTOWN COMMERCIAL CORE,DNC,04/01/2011 12:00:00 AM,8071,4716,1.71
TUXEDO PARK,TUX,04/01/1978 12:00:00 AM,4009,1807,2.22
SILVER SPRINGS,SIL,04/01/1987 12:00:00 AM,10253,3240,3.16
HILLHURST,HIL,04/01/1970 12:00:00 AM,5004,1880,2.66
TARADALE,TAR,04/01/1999 12:00:00 AM,1918,623,3.08
MAPLE RIDGE,MPL,04/01/2011 12:00:00 AM,1978,796,2.48
FOREST HEIGHTS,FHT,04/01/2003 12:00:00 AM,6631,2070,3.2
RANCHLANDS,RAN,04/01/2001 12:00:00 AM,8091,2909,2.78
MCKENZIE LAKE,MCK,04/01/2004 12:00:00 AM,14951,4568,3.27
HARVEST HILLS,HAR,04/01/2003 12:00:00 AM,7438,2534,2.94
HARVEST HILLS,HAR,04/01/1973 12:00:00 AM,0,0,0
SOMERSET,SOM,04/01/2005 12:00:00 AM,8305,3070,2.71
CORNERSTONE,CNS,04/01/2005 12:00:00 AM,0,0,0
ROSEMONT,RMT,04/01/2015 12:00:00 AM,1276,534,2.39
WEST SPRINGS,WSP,04/01/1973 12:00:00 AM,0,0,0
HIDDEN VALLEY,HID,04/01/1970 12:00:00 AM,0,0,0
HAMPTONS,HAM,04/01/1982 12:00:00 AM,0,0,0
MARTINDALE,MRT,04/01/2014 12:00:00 AM,14761,3950,3.74
GREENVIEW,GRV,04/01/1978 12:00:00 AM,1238,410,3.02
RUTLAND PARK,RUT,04/01/1994 12:00:00 AM,2513,945,2.66
ERIN WOODS,ERI,04/01/1989 12:00:00 AM,3975,1142,3.48
STRATHCONA PARK,STR,04/01/1993 12:00:00 AM,5033,1617,3.11
MANCHESTER,MAN,04/01/1989 12:00:00 AM,276,167,1.65
NORTH HAVEN,NHV,04/01/1993 12:00:00 AM,2542,945,2.69
SHAWNESSY,SHN,04/01/2009 12:00:00 AM,9446,3251,2.91
CHAPARRAL,CHA,04/01/2000 12:00:00 AM,3447,1159,2.97
THORNCLIFFE,THO,04/01/1986 12:00:00 AM,9813,3589,2.73
WALDEN,WAL,04/01/2013 12:00:00 AM,1624,529,3.07
CEDARBRAE,CED,04/01/1969 12:00:00 AM,64,17,3.76
BANKVIEW,BNK,04/01/1971 12:00:00 AM,5138,2155,2.38
RED CARPET,RED,04/01/1985 12:00:00 AM,1100,420,2.62
BRIDLEWOOD,BRI,04/01/1979 12:00:00 AM,12,3,4
ERLTON,ERL,04/01/1996 12:00:00 AM,490,244,2.01
SOUTHVIEW,SOV,04/01/1990 12:00:00 AM,2336,850,2.75
NORTH GLENMORE PARK,NGM,04/01/1982 12:00:00 AM,2941,950,3.1
SPRINGBANK HILL,SPH,04/01/2007 12:00:00 AM,6105,2054,2.97
COUNTRY HILLS VILLAGE,CHV,04/01/1974 12:00:00 AM,0,0,0
PUMP HILL,PUM,04/01/1978 12:00:00 AM,750,153,4.9
COUNTRY HILLS VILLAGE,CHV,04/01/1991 12:00:00 AM,0,0,0
CEDARBRAE,CED,04/01/1977 12:00:00 AM,2521,723,3.49
DALHOUSIE,DAL,04/01/1974 12:00:00 AM,6636,1828,3.63
DOUGLASDALE/GLEN,DDG,04/01/2013 12:00:00 AM,12149,4142,2.93
WILDWOOD,WLD,04/01/2005 12:00:00 AM,2594,1040,2.49
MEADOWLARK PARK,MEA,04/01/2017 12:00:00 AM,665,265,2.51
WHITEHORN,WHI,04/01/2007 12:00:00 AM,11677,3452,3.38
WILDWOOD,WLD,04/01/1999 12:00:00 AM,2706,1033,2.62
WEST HILLHURST,WHL,04/01/1981 12:00:00 AM,5245,2321,2.26
WOODBINE,WBN,04/01/2010 12:00:00 AM,9378,3314,2.83
SUNALTA,SNA,04/01/1974 12:00:00 AM,2784,1375,2.02
SAGE HILL,SGH,04/01/2006 12:00:00 AM,65,21,3.1
SADDLE RIDGE,SAD,04/01/1974 12:00:00 AM,290,70,4.14
NORTH HAVEN UPPER,NHU,04/01/1971 12:00:00 AM,0,0,0
PARKHILL,PKH,04/01/1978 12:00:00 AM,1281,555,2.31
MIDNAPORE,MID,04/01/2005 12:00:00 AM,7213,2579,2.8
BRITANNIA,BRT,04/01/1995 12:00:00 AM,766,310,2.47
SHERWOOD,SHW,04/01/1968 12:00:00 AM,0,0,0
GARRISON WOODS,GAW,04/01/2014 12:00:00 AM,0,0,0
PINERIDGE,PIN,04/01/2004 12:00:00 AM,9862,3593,2.74
HIDDEN VALLEY,HID,04/01/2010 12:00:00 AM,11780,3811,3.09
HOUNSFIELD HEIGHTS/BRIAR HILL,HOU,04/01/1988 12:00:00 AM,2677,941,2.84
GLENDALE,GDL,04/01/2005 12:00:00 AM,2691,1083,2.48
MILLRISE,MLR,04/01/1999 12:00:00 AM,4674,1557,3
PENBROOKE MEADOWS,PEN,04/01/2017 12:00:00 AM,8324,2990,2.78
ELBOW PARK,EPK,04/01/1996 12:00:00 AM,3425,1183,2.9
CHRISTIE PARK,CHR,04/01/1987 12:00:00 AM,26,9,2.89
CITADEL,CIT,04/01/2009 12:00:00 AM,10212,3433,2.97
COUNTRY HILLS,COU,04/01/1990 12:00:00 AM,0,0,0
APPLEWOOD PARK,APP,04/01/1998 12:00:00 AM,4419,1251,3.53
WHITEHORN,WHI,04/01/1982 12:00:00 AM,8707,2605,3.34
VARSITY,VAR,04/01/1973 12:00:00 AM,9165,2457,3.73
VALLEY RIDGE,VAL,04/01/2013 12:00:00 AM,5312,1769,3
LAKEVIEW,LKV,04/01/2015 12:00:00 AM,5451,2280,2.39
BELTLINE,BLN,04/01/1988 12:00:00 AM,15562,9936,1.57
CORNERSTONE,CNS,04/01/2015 12:00:00 AM,0,0,0
INGLEWOOD,ING,04/01/2012 12:00:00 AM,3564,1941,1.84
BRENTWOOD,BRE,04/01/1985 12:00:00 AM,6820,2444,2.79
GLENBROOK,GBK,04/01/2010 12:00:00 AM,6755,3033,2.23
KILLARNEY/GLENGARRY,KIL,04/01/1975 12:00:00 AM,6357,2410,2.64
ARBOUR LAKE,ARB,04/01/1975 12:00:00 AM,0,0,0
TUSCANY,TUS,04/01/1987 12:00:00 AM,0,0,0
SHAWNESSY,SHN,04/01/1973 12:00:00 AM,0,0,0
SKYVIEW RANCH,SKR,04/01/1995 12:00:00 AM,0,0,0
LOWER MOUNT ROYAL,LMR,04/01/1968 12:00:00 AM,3158,1546,2.04
EDGEMONT,EDG,04/01/1986 12:00:00 AM,7480,2241,3.34
COUGAR RIDGE,CGR,04/01/1987 12:00:00 AM,0,0,0
SCENIC ACRES,SCE,04/01/1974 12:00:00 AM,0,0,0
SKYVIEW RANCH,SKR,04/01/1982 12:00:00 AM,0,0,0
BANFF TRAIL,BNF,04/01/1985 12:00:00 AM,3329,1519,2.19
APPLEWOOD PARK,APP,04/01/1970 12:00:00 AM,0,0,0
PENBROOKE MEADOWS,PEN,04/01/2011 12:00:00 AM,8188,2907,2.82
OAKRIDGE,OAK,04/01/1978 12:00:00 AM,5870,1675,3.5
BRIDGELAND/RIVERSIDE,BRD,04/01/1980 12:00:00 AM,4942,2212,2.23
CRESTMONT,CRM,04/01/2011 12:00:00 AM,1430,437,3.27
RUNDLE,RUN,04/01/1973 12:00:00 AM,0,0,0
MCKENZIE TOWNE,MCT,04/01/2004 12:00:00 AM,6936,2708,2.56
ROCKY RIDGE,ROC,04/01/2017 12:00:00 AM,8381,3038,2.76
CRESTMONT,CRM,04/01/1999 12:00:00 AM,0,0,0
SHERWOOD,SHW,04/01/2001 12:00:00 AM,0,0,0
TUSCANY,TUS,04/01/1991 12:00:00 AM,19,6,3.17
HAMPTONS,HAM,04/01/1996 12:00:00 AM,2616,769,3.4
PENBROOKE MEADOWS,PEN,04/01/1977 12:00:00 AM,8842,2347,3.77
RUNDLE,RUN,04/01/2007 12:00:00 AM,11230,3606,3.11
BRAESIDE,BRA,04/01/1989 12:00:00 AM,7135,2455,2.91
BANKVIEW,BNK,04/01/1985 12:00:00 AM,4778,2874,1.66
UNIVERSITY HEIGHTS,UNI,04/01/1971 12:00:00 AM,2754,751,3.67
COPPERFIELD,CPF,04/01/1973 12:00:00 AM,0,0,0
WESTGATE,WGT,04/01/1987 12:00:00 AM,3554,1313,2.71
ROSEMONT,RMT,04/01/1985 12:00:00 AM,1272,513,2.48
BELTLINE,BLN,04/01/1981 12:00:00 AM,13896,8382,1.66
SPRUCE CLIFF,SPR,04/01/2014 12:00:00 AM,4488,2209,2.03
COVENTRY HILLS,COV,04/01/2009 12:00:00 AM,15688,5190,3.02
PARKHILL,PKH,04/01/1977 12:00:00 AM,1417,590,2.4
NORTH HAVEN,NHV,04/01/1999 12:00:00 AM,2508,941,2.67
COPPERFIELD,CPF,04/01/2009 12:00:00 AM,5609,2046,2.74
MIDNAPORE,MID,04/01/2009 12:00:00 AM,7114,2662,2.67
KILLARNEY/GLENGARRY,KIL,04/01/2000 12:00:00 AM,6484,3179,2.04
CHINOOK PARK,CHK,04/01/1998 12:00:00 AM,1753,576,3.04
BRAESIDE,BRA,04/01/1971 12:00:00 AM,1794,435,4.12
RICHMOND,RIC,04/01/1969 12:00:00 AM,5013,1687,2.97
ROXBORO,ROX,04/01/1978 12:00:00 AM,455,165,2.76
MAHOGANY,MAH,04/01/1970 12:00:00 AM,0,0,0
DOWNTOWN COMMERCIAL CORE,DNC,04/01/1985 12:00:00 AM,5662,4166,1.36
COPPERFIELD,CPF,04/01/1981 12:00:00 AM,0,0,0
SPRINGBANK HILL,SPH,04/01/2017 12:00:00 AM,9985,3278,3.05
NORTH HAVEN,NHV,04/01/1973 12:00:00 AM,3038,763,3.98
MANCHESTER,MAN,04/01/1994 12:00:00 AM,256,157,1.63
DALHOUSIE,DAL,04/01/1989 12:00:00 AM,9638,3424,2.81
COVENTRY HILLS,COV,04/01/1989 12:00:00 AM,0,0,0
AUBURN BAY,AUB,04/01/1994 12:00:00 AM,0,0,0
CRESTMONT,CRM,04/01/1992 12:00:00 AM,0,0,0
HIGHLAND PARK,HPK,04/01/2014 12:00:00 AM,3965,1942,2.04
WESTGATE,WGT,04/01/1999 12:00:00 AM,3422,1337,2.56
CASTLERIDGE,CAS,04/01/2005 12:00:00 AM,6095,1805,3.38
HOUNSFIELD HEIGHTS/BRIAR HILL,HOU,04/01/1978 12:00:00 AM,2914,884,3.3
CLIFF BUNGALOW,CLI,04/01/1982 12:00:00 AM,2219,1193,1.86
WOODLANDS,WOO,04/01/1982 12:00:00 AM,4521,1392,3.25
PALLISER,PAL,04/01/1970 12:00:00 AM,1749,506,3.46
CANYON MEADOWS,CAN,04/01/1980 12:00:00 AM,8159,2444,3.34
LEGACY,LEG,04/01/2003 12:00:00 AM,0,0,0
UNIVERSITY DISTRICT,UND,04/01/1995 12:00:00 AM,0,0,0
EDGEMONT,EDG,04/01/1995 12:00:00 AM,14377,4320,3.33
FALCONRIDGE,FAL,04/01/1994 12:00:00 AM,10294,3068,3.36
HIDDEN VALLEY,HID,04/01/1978 12:00:00 AM,0,0,0
WILDWOOD,WLD,04/01/1989 12:00:00 AM,2714,1043,2.6
SCENIC ACRES,SCE,04/01/1975 12:00:00 AM,0,0,0
ROSSCARROCK,RCK,04/01/1995 12:00:00 AM,3221,1394,2.31
HAYSBORO,HAY,04/01/2002 12:00:00 AM,6275,2835,2
HAWKWOOD,HAW,04/01/1981 12:00:00 AM,168,51,3.29
COUGAR RIDGE,CGR,04/01/2014 12:00:00 AM,6702,2086,3.21
HARVEST HILLS,HAR,04/01/1999 12:00:00 AM,6529,2291,2.85
PALLISER,PAL,04/01/1982 12:00:00 AM,3222,1302,2.47
SUNDANCE,SDC,04/01/1976 12:00:00 AM,0,0,0
CRESTMONT,CRM,04/01/1986 12:00:00 AM,0,0,0
SPRINGBANK HILL,SPH,04/01/2009 12:00:00 AM,7839,2627,2.98
WINSTON HEIGHTS/MOUNTVIEW,WIN,04/01/1996 12:00:00 AM,3767,1615,2.33
MAYFAIR,MAF,04/01/2010 12:00:00 AM,472,151,3.13
COACH HILL,COA,04/01/2015 12:00:00 AM,3301,1435,2.3
ROSEDALE,RDL,04/01/1990 12:00:00 AM,1613,660,2.44
HIDDEN VALLEY,HID,04/01/2017 12:00:00 AM,11708,3828,3.06
MOUNT PLEASANT,MOP,04/01/1977 12:00:00 AM,4941,2087,2.37
PARKHILL,PKH,04/01/2013 12:00:00 AM,1613,780,2.07
COACH HILL,COA,04/01/1991 12:00:00 AM,3097,1195,2.59
BEL-AIRE,BEL,04/01/1978 12:00:00 AM,494,137,3.61
LAKEVIEW,LKV,04/01/2008 12:00:00 AM,5413,2223,2.43
UNIVERSITY OF CALGARY,UOC,04/01/1996 12:00:00 AM,1911,705,2.71
WOODLANDS,WOO,04/01/1992 12:00:00 AM,6516,2146,3.04
ROSEMONT,RMT,04/01/2006 12:00:00 AM,1247,530,2.35
UNIVERSITY DISTRICT,UND,04/01/2009 12:00:00 AM,0,0,0
SHAWNESSY,SHN,04/01/2016 12:00:00 AM,9411,3235,2.91
BRIDLEWOOD,BRI,04/01/2005 12:00:00 AM,6892,2443,2.82
CHRISTIE PARK,CHR,04/01/1988 12:00:00 AM,25,10,2.5
ALTADORE,ALT,04/01/2004 12:00:00 AM,7534,3602,2.09
GLAMORGAN,GLA,04/01/2015 12:00:00 AM,6432,2893,2.22
MACEWAN GLEN,MAC,04/01/2000 12:00:00 AM,5658,1757,3.22
WINDSOR PARK,WND,04/01/2012 12:00:00 AM,4126,2305,1.79
RAMSAY,RAM,04/01/1979 12:00:00 AM,2291,961,2.38
CLIFF BUNGALOW,CLI,04/01/1983 12:00:00 AM,1817,1047,1.74
MEADOWLARK PARK,MEA,04/01/1968 12:00:00 AM,1231,298,4.13
MAPLE RIDGE,MPL,04/01/2000 12:00:00 AM,2180,805,2.71
MONTGOMERY,MON,04/01/1997 12:00:00 AM,3903,1555,2.51
SHAGANAPPI,SHG,04/01/1972 12:00:00 AM,1975,698,2.83
ELBOW PARK,EPK,04/01/1972 12:00:00 AM,3784,1172,3.23
RENFREW,REN,04/01/2003 12:00:00 AM,5706,2848,2
ERLTON,ERL,04/01/2000 12:00:00 AM,806,451,1.79
ALTADORE,ALT,04/01/1980 12:00:00 AM,7243,2668,2.71
DISCOVERY RIDGE,DIS,04/01/1992 12:00:00 AM,0,0,0
DOUGLASDALE/GLEN,DDG,04/01/1998 12:00:00 AM,9828,3257,3.02
GLAMORGAN,GLA,04/01/1996 12:00:00 AM,6260,2723,2.3
DISCOVERY RIDGE,DIS,04/01/2011 12:00:00 AM,4321,1605,2.69
BANFF TRAIL,BNF,04/01/1981 12:00:00 AM,3537,1501,2.36
FAIRVIEW,FAI,04/01/2010 12:00:00 AM,3526,1526,2.31
OGDEN,OGD,04/01/1971 12:00:00 AM,5138,1379,3.73
SETON,SET,04/01/1987 12:00:00 AM,0,0,0
WOODLANDS,WOO,04/01/1973 12:00:00 AM,67,3,22.33
SANDSTONE VALLEY,SAN,04/01/1981 12:00:00 AM,0,0,0
SETON,SET,04/01/2010 12:00:00 AM,0,0,0
GARRISON GREEN,GAG,04/01/2011 12:00:00 AM,1984,707,2.81
COACH HILL,COA,04/01/1986 12:00:00 AM,2702,1032,2.62
ELBOYA,EYA,04/01/2017 12:00:00 AM,1783,715,2.49
HIGHWOOD,HIW,04/01/2008 12:00:00 AM,2155,919,2.34
CRESCENT HEIGHTS,CRE,04/01/2016 12:00:00 AM,6097,3267,1.87
SADDLE RIDGE,SAD,04/01/1988 12:00:00 AM,123,37,3.32
SOUTHVIEW,SOV,04/01/1978 12:00:00 AM,2687,843,3.19
RUTLAND PARK,RUT,04/01/2001 12:00:00 AM,2377,952,2.5
CORAL SPRINGS,COR,04/01/1992 12:00:00 AM,205,49,4.18
PENBROOKE MEADOWS,PEN,04/01/1997 12:00:00 AM,9428,2796,3.37
WOODBINE,WBN,04/01/2001 12:00:00 AM,10688,3333,3.21
KILLARNEY/GLENGARRY,KIL,04/01/1974 12:00:00 AM,6576,2399,2.74
THORNCLIFFE,THO,04/01/2001 12:00:00 AM,9265,3630,2.55
WOODLANDS,WOO,04/01/2002 12:00:00 AM,6845,2352,2.91
WOODLANDS,WOO,04/01/2012 12:00:00 AM,6201,2351,2.64
AUBURN BAY,AUB,04/01/2003 12:00:00 AM,0,0,0
ASPEN WOODS,ASP,04/01/1990 12:00:00 AM,0,0,0
ASPEN WOODS,ASP,04/01/2001 12:00:00 AM,146,50,2.92
NORTH HAVEN UPPER,NHU,04/01/1975 12:00:00 AM,0,0,0
HAYSBORO,HAY,04/01/2006 12:00:00 AM,5970,2827,2
ST. ANDREWS HEIGHTS,STA,04/01/1981 12:00:00 AM,2246,745,3.01
BANFF TRAIL,BNF,04/01/2007 12:00:00 AM,3738,1655,2.26
WINSTON HEIGHTS/MOUNTVIEW,WIN,04/01/1972 12:00:00 AM,4652,1506,3.09
WHITEHORN,WHI,04/01/1981 12:00:00 AM,7565,2249,3.36
DISCOVERY RIDGE,DIS,04/01/1997 12:00:00 AM,20,6,3.33
MARLBOROUGH,MRL,04/01/1968 12:00:00 AM,97,27,3.59
WESTGATE,WGT,04/01/1989 12:00:00 AM,3524,1326,2.66
MAHOGANY,MAH,04/01/1976 12:00:00 AM,0,0,0
CHINOOK PARK,CHK,04/01/1988 12:00:00 AM,1787,582,3.07
ROSSCARROCK,RCK,04/01/1988 12:00:00 AM,3411,1445,2.36
DISCOVERY RIDGE,DIS,04/01/1974 12:00:00 AM,0,0,0
RENFREW,REN,04/01/1993 12:00:00 AM,5425,2627,2.07
DALHOUSIE,DAL,04/01/2008 12:00:00 AM,8981,3601,2.49
BANFF TRAIL,BNF,04/01/1987 12:00:00 AM,3353,1549,2.16
MONTGOMERY,MON,04/01/1996 12:00:00 AM,3910,1568,2.49
VALLEY RIDGE,VAL,04/01/1977 12:00:00 AM,0,0,0
CHARLESWOOD/COLLINGWOOD,,04/01/2013 12:00:00 AM,5805,2374,2.45
MILLRISE,MLR,04/01/1987 12:00:00 AM,2113,674,3.14
ABBEYDALE,ABB,04/01/1985 12:00:00 AM,5947,1737,3.42
HIGHLAND PARK,HPK,04/01/2012 12:00:00 AM,3792,1933,1.96
DOWNTOWN WEST END,DNW,04/01/1988 12:00:00 AM,448,300,1.49
DISCOVERY RIDGE,DIS,04/01/1993 12:00:00 AM,0,0,0
MEADOWLARK PARK,MEA,04/01/1971 12:00:00 AM,1129,296,3.81
LEGACY,LEG,04/01/1983 12:00:00 AM,0,0,0
CRESCENT HEIGHTS,CRE,04/01/2001 12:00:00 AM,5758,3279,1.76
CITADEL,CIT,04/01/1981 12:00:00 AM,0,0,0
EVANSTON,EVN,04/01/1995 12:00:00 AM,20,6,3.33
EVERGREEN,EVE,04/01/2005 12:00:00 AM,8281,2961,2.8
DOWNTOWN WEST END,DNW,04/01/1994 12:00:00 AM,435,282,1.54
SOMERSET,SOM,04/01/1974 12:00:00 AM,0,0,0
NORTH HAVEN UPPER,NHU,04/01/1980 12:00:00 AM,866,243,3.56
GREENWOOD/GREENBRIAR,GRE,04/01/1986 12:00:00 AM,1036,457,2.27
CRANSTON,CRA,04/01/1984 12:00:00 AM,0,0,0
ROCKY RIDGE,ROC,04/01/1974 12:00:00 AM,0,0,0
GLAMORGAN,GLA,04/01/2005 12:00:00 AM,6361,2889,2.2
WALDEN,WAL,04/01/2015 12:00:00 AM,3076,980,3.14
HAWKWOOD,HAW,04/01/2002 12:00:00 AM,11011,3308,3.33
SUNNYSIDE,SSD,04/01/1982 12:00:00 AM,3949,2169,1.82
HAMPTONS,HAM,04/01/1984 12:00:00 AM,0,0,0
POINT MCKAY,POI,04/01/1998 12:00:00 AM,1369,829,1.65
RIVERBEND,RIV,04/01/2005 12:00:00 AM,10377,3436,3.02
DALHOUSIE,DAL,04/01/1983 12:00:00 AM,10373,3355,3.09
DOVER,DOV,04/01/2000 12:00:00 AM,11228,4063,2.76
VARSITY,VAR,04/01/2003 12:00:00 AM,12205,5125,2.38
MARLBOROUGH,MRL,04/01/1977 12:00:00 AM,9599,2563,3.75
CITYSCAPE,CSC,04/01/2005 12:00:00 AM,0,0,0
RENFREW,REN,04/01/2010 12:00:00 AM,5594,2860,1.96
ROSSCARROCK,RCK,04/01/1982 12:00:00 AM,3678,1458,2.52
EAU CLAIRE,EAU,04/01/1971 12:00:00 AM,835,322,2.59
SUNALTA,SNA,04/01/1972 12:00:00 AM,3066,1381,2.22
CRESTMONT,CRM,04/01/2017 12:00:00 AM,1540,478,3.22
PENBROOKE MEADOWS,PEN,04/01/2003 12:00:00 AM,8828,2830,3.12
ACADIA,ACA,04/01/2004 12:00:00 AM,10515,4736,2.22
MCKENZIE TOWNE,MCT,04/01/1995 12:00:00 AM,0,0,0
SILVERADO,SVO,04/01/2009 12:00:00 AM,2620,928,2.82
BONAVISTA DOWNS,BDO,04/01/1971 12:00:00 AM,0,0,0
WESTGATE,WGT,04/01/1968 12:00:00 AM,4243,974,4.36
REDSTONE,RSN,04/01/1987 12:00:00 AM,0,0,0
ROSEDALE,RDL,04/01/1991 12:00:00 AM,1575,651,2.42
NEW BRIGHTON,NEB,04/01/1997 12:00:00 AM,0,0,0
TARADALE,TAR,04/01/1973 12:00:00 AM,0,0,0
TEMPLE,TEM,04/01/2005 12:00:00 AM,10838,3443,3.15
LINCOLN PARK,LPK,04/01/1990 12:00:00 AM,785,351,2.24
DOWNTOWN EAST VILLAGE,DNE,04/01/1990 12:00:00 AM,1020,812,1.26
HAWKWOOD,HAW,04/01/1985 12:00:00 AM,2341,730,3.21
ARBOUR LAKE,ARB,04/01/1981 12:00:00 AM,0,0,0
KINCORA,KCA,04/01/2001 12:00:00 AM,0,0,0
ROSEDALE,RDL,04/01/1969 12:00:00 AM,1771,676,2.62
BELTLINE,BLN,04/01/1968 12:00:00 AM,14222,7181,1.98
SUNDANCE,SDC,04/01/1986 12:00:00 AM,3020,919,3.29
PANORAMA HILLS,PAN,04/01/2004 12:00:00 AM,6873,2133,3.22
RUNDLE,RUN,04/01/1985 12:00:00 AM,11242,3328,3.38
PALLISER,PAL,04/01/1991 12:00:00 AM,3237,1441,2.25
ACADIA,ACA,04/01/2001 12:00:00 AM,11012,4862,2.26
WALDEN,WAL,04/01/1995 12:00:00 AM,0,0,0
DOVER,DOV,04/01/1978 12:00:00 AM,10528,2977,3.54
