name,comm_code,census_year,population,occupied dwellings,persons per unit
DOWNTOWN EAST VILLAGE,DNE,04/01/2008 12:00:00 AM,2316,941,2.46
COACH HILL,COA,04/01/1995 12:00:00 AM,3062,1225,2.5
OGDEN,OGD,04/01/2014 12:00:00 AM,8918,3754,2.38
SOUTH CALGARY,SOC,04/01/1971 12:00:00 AM,3867,1437,2.69
CANYON MEADOWS,CAN,04/01/2007 12:00:00 AM,8024,3103,2.59
DOWNTOWN COMMERCIAL CORE,DNC,04/01/1993 12:00:00 AM,6276,4062,1.55
GARRISON GREEN,GAG,04/01/2000 12:00:00 AM,647,218,2.97
GREENVIEW,GRV,04/01/1979 12:00:00 AM,1482,490,3.02
OGDEN,OGD,04/01/1968 12:00:00 AM,5259,1272,4.13
ALTADORE,ALT,04/01/2015 12:00:00 AM,9867,4223,2.34
KINGSLAND,KIN,04/01/1981 12:00:00 AM,4695,2119,2.22
BELTLINE,BLN,04/01/1976 12:00:00 AM,14589,8577,1.7
ALTADORE,ALT,04/01/1973 12:00:00 AM,6127,2073,2.96
LEGACY,LEG,04/01/1993 12:00:00 AM,0,0,0
CRESTMONT,CRM,04/01/1971 12:00:00 AM,0,0,0
COUNTRY HILLS,COU,04/01/2008 12:00:00 AM,3615,1393,2.6
CORNERSTONE,CNS,04/01/1977 12:00:00 AM,0,0,0
ROXBORO,ROX,04/01/1989 12:00:00 AM,429,160,2.68
CHINOOK PARK,CHK,04/01/1978 12:00:00 AM,2064,583,3.54
CAMBRIAN HEIGHTS,CAM,04/01/1989 12:00:00 AM,2181,893,2.44
CRESTMONT,CRM,04/01/1995 12:00:00 AM,0,0,0
SHERWOOD,SHW,04/01/2002 12:00:00 AM,0,0,0
EAGLE RIDGE,EAG,04/01/2005 12:00:00 AM,421,105,4.01
HAWKWOOD,HAW,04/01/1989 12:00:00 AM,4984,1488,3.35
